Word,aoa_Kuperman,cmu_MNphonemes,cmu_MNsyllables,fa_BCs,fa_CCs,fa_PR_scores,fa_degrees,wn_BCs,wn_CCs,wn_MNSyns,wn_NSigns,wn_PR_scores,wn_degrees
awake,4.67,4.0,2.0,0.00011612028046535098,0.2046783625730994,9.6236453129397927e-05,19,3.786526178762547e-05,0.5714285714285714,3.6666666666666665,3,1.321173834027744e-05,8
award,7.5,5.0,2.0,0.000885909770557514,0.1010752688172043,2.6886755683718553e-05,31,2.2493486733523426e-05,0.21428571428571427,2.6000000000000001,5,1.3211738340278083e-05,8
aware,6.75,4.0,2.0,0.0003777033937280083,0.11231884057971014,3.496953218161238e-05,24,3.2825573865471363e-10,0.3333333333333333,2.5,2,1.2217625239725772e-05,3
awareness,9.3,7.0,3.0,0.0004966118329820932,0.0935672514619883,1.3825609936581633e-05,19,3.1927940916764126e-06,0.6,3.5,2,8.257336462674932e-06,5
awful,6.26,4.0,2.0,7.96969348040341e-05,0.2807017543859649,7.2213356973112997e-05,19,0.00017093967724976768,0.2553846153846154,5.1428571428571432,7,4.789255148350997e-05,26
awkward,8.58,5.0,2.0,0.00035918072873335666,0.10294117647058823,1.2419815803156671e-05,17,9.600653709116647e-05,0.25757575757575757,3.1666666666666665,6,2.1469074802957723e-05,12
baby,3.84,4.0,2.0,0.0038034042006875744,0.02982456140350877,0.00037746028105717074,96,3.6977417255912475e-05,0.45454545454545453,2.625,8,2.1469074802952936e-05,12
backbone,6.95,6.0,2.0,0.0002335022007744056,0.13186813186813187,1.2730120846341155e-05,14,6.804137397876718e-05,0.2857142857142857,4.2000000000000002,5,2.6423476680558247e-05,15
background,8.67,8.0,2.0,0.0008283468934010699,0.05627705627705628,1.2147124059807133e-05,22,4.4734312757467334e-05,0.07272727272727272,2.2222222222222223,9,1.8166140217883733e-05,11
backpack,5.38,6.0,2.0,0.00021254850654134873,0.21052631578947367,2.0632727984139924e-05,19,2.23788349827851e-05,0.6666666666666666,4.0,2,9.9088037552101481e-06,6
bacon,5.0,5.0,2.0,7.677679148631399e-05,0.2222222222222222,4.122498782085119e-05,18,8.206393466367841e-10,0.6666666666666666,3.0,3,1.0939956590492072e-05,6
bad,2.79,3.0,1.0,0.020486662039591912,0.027822998372058604,0.00092662474820484598,233,0.00026363794091675146,0.05,2.0,17,2.8074943973079221e-05,16
bag,4.28,3.0,1.0,0.0010831423281853227,0.06666666666666667,0.00018159953230520773,45,8.392193406650865e-05,0.09523809523809523,2.0714285714285716,14,2.4772009388022182e-05,15
bait,7.11,3.0,1.0,0.0001131213939426987,0.23636363636363636,2.9032404605647078e-05,11,4.6829261040126637e-05,0.49523809523809526,4.2000000000000002,5,2.6423476680557332e-05,15
